Branch,City,Customer type,Date,Gender,Invoice ID,Payment,Product line,Time,Cogs,Customer type (copy),Gross Income,Gross Margin Percentage,Payment (copy),Quantity,Rating,Tax 5%,Total,Unit price
B,Mandalay,Member,23-03-2019,Female,608-96-3517,Credit card,Fashion accessories,30-12-1899 07:20:00 pm,366.16,,18.308,4.761904762,,4,4.8,18.308,384.468,91.54
C,Naypyitaw,Member,11-03-2019,Male,584-86-7256,Credit card,Sports and travel,30-12-1899 04:07:00 pm,241.92,,12.096,4.761904762,,7,7.3,12.096,254.016,34.56
A,Yangon,Normal,29-01-2019,Male,746-94-0204,Credit card,Fashion accessories,30-12-1899 11:56:00 am,749.16,,37.458,4.761904762,,9,7.4,37.458,786.618,83.24
C,Naypyitaw,Normal,07-02-2019,Female,214-17-6927,Ewallet,Food and beverages,30-12-1899 06:23:00 pm,98.88,,4.944,4.761904762,,6,9.9,4.944,103.824,16.48
C,Naypyitaw,Normal,28-01-2019,Female,400-89-4171,Cash,Sports and travel,30-12-1899 01:05:00 pm,647.76,,32.388,4.761904762,,8,9.3,32.388,680.148,80.97
A,Yangon,Member,20-02-2019,Male,782-95-9291,Credit card,Food and beverages,30-12-1899 03:55:00 pm,461.45,,23.0725,4.761904762,,5,9,23.0725,484.5225,92.29
B,Mandalay,Member,04-01-2019,Male,279-74-2924,Cash,Electronic accessories,30-12-1899 07:40:00 pm,72.17,,3.6085,4.761904762,,1,6.1,3.6085,75.7785,72.17
B,Mandalay,Normal,07-03-2019,Male,307-85-2293,Ewallet,Home and lifestyle,30-12-1899 01:58:00 pm,251.4,,12.57,4.761904762,,5,9.7,12.57,263.97,50.28
B,Mandalay,Member,30-03-2019,Male,743-04-1105,Ewallet,Health and beauty,30-12-1899 02:43:00 pm,874.98,,43.749,4.761904762,,9,6,43.749,918.729,97.22
B,Mandalay,Normal,27-03-2019,Male,423-57-2993,Ewallet,Sports and travel,30-12-1899 07:18:00 pm,560.34,,28.017,4.761904762,,6,10,28.017,588.357,93.39
C,Naypyitaw,Normal,19-01-2019,Female,894-41-5205,Credit card,Food and beverages,30-12-1899 07:39:00 pm,345.44,,17.272,4.761904762,,8,8.3,17.272,362.712,43.18
A,Yangon,Normal,25-02-2019,Male,275-28-0149,Cash,Sports and travel,30-12-1899 04:21:00 pm,63.69,,3.1845,4.761904762,,1,6,3.1845,66.8745,63.69
A,Yangon,Normal,13-03-2019,Male,101-17-6199,Credit card,Food and beverages,30-12-1899 07:44:00 pm,320.53,,16.0265,4.761904762,,7,7,16.0265,336.5565,45.79
C,Naypyitaw,Normal,30-01-2019,Male,423-80-0988,Ewallet,Sports and travel,30-12-1899 07:42:00 pm,152.8,,7.64,4.761904762,,2,6.5,7.64,160.44,76.4
B,Mandalay,Normal,20-02-2019,Male,548-46-9322,Credit card,Food and beverages,30-12-1899 03:24:00 pm,399,,19.95,4.761904762,,10,5.9,19.95,418.95,39.9
B,Mandalay,Member,25-02-2019,Male,505-02-0892,Ewallet,Health and beauty,30-12-1899 02:12:00 pm,340.56,,17.028,4.761904762,,8,5.6,17.028,357.588,42.57
C,Naypyitaw,Normal,16-01-2019,Male,234-65-2137,Cash,Home and lifestyle,30-12-1899 01:32:00 pm,955.8,,47.79,4.761904762,,10,4.8,47.79,1003.59,95.58
A,Yangon,Normal,08-02-2019,Male,687-47-8271,Credit card,Fashion accessories,30-12-1899 04:20:00 pm,989.8,,49.49,4.761904762,,10,8.7,49.49,1039.29,98.98
A,Yangon,Normal,19-01-2019,Male,796-32-9050,Cash,Food and beverages,30-12-1899 04:31:00 pm,307.68,,15.384,4.761904762,,6,6.5,15.384,323.064,51.28
A,Yangon,Member,01-02-2019,Male,105-31-1824,Credit card,Sports and travel,30-12-1899 03:10:00 pm,486.64,,24.332,4.761904762,,7,8.5,24.332,510.972,69.52
A,Yangon,Normal,03-01-2019,Male,249-42-3782,Ewallet,Health and beauty,30-12-1899 11:36:00 am,350.05,,17.5025,4.761904762,,5,5.5,17.5025,367.5525,70.01
B,Mandalay,Member,26-01-2019,Male,316-55-4634,Credit card,Food and beverages,30-12-1899 12:45:00 pm,400.25,,20.0125,4.761904762,,5,9.4,20.0125,420.2625,80.05
C,Naypyitaw,Normal,03-03-2019,Male,733-33-4967,Cash,Electronic accessories,30-12-1899 07:17:00 pm,166.8,,8.34,4.761904762,,8,6.3,8.34,175.14,20.85
B,Mandalay,Member,19-01-2019,Male,608-27-6295,Credit card,Electronic accessories,30-12-1899 05:34:00 pm,317.34,,15.867,4.761904762,,6,9.8,15.867,333.207,52.89
B,Mandalay,Normal,18-01-2019,Male,414-12-7047,Ewallet,Food and beverages,30-12-1899 12:04:00 pm,158.32,,7.916,4.761904762,,8,8.7,7.916,166.236,19.79
A,Yangon,Member,21-03-2019,Male,827-26-2100,Ewallet,Home and lifestyle,30-12-1899 04:21:00 pm,304.56,,15.228,4.761904762,,9,8.8,15.228,319.788,33.84
A,Yangon,Member,03-03-2019,Male,175-54-2529,Credit card,Food and beverages,30-12-1899 05:01:00 pm,177.36,,8.868,4.761904762,,8,9.6,8.868,186.228,22.17
C,Naypyitaw,Normal,13-02-2019,Female,139-52-2867,Credit card,Fashion accessories,30-12-1899 10:50:00 am,157.57,,7.8785,4.761904762,,7,4.8,7.8785,165.4485,22.51
A,Yangon,Normal,23-03-2019,Male,407-63-8975,Ewallet,Food and beverages,30-12-1899 07:16:00 pm,443.28,,22.164,4.761904762,,6,4.4,22.164,465.444,73.88
C,Naypyitaw,Member,28-01-2019,Male,342-65-4817,Ewallet,Health and beauty,30-12-1899 04:47:00 pm,260.4,,13.02,4.761904762,,3,9.9,13.02,273.42,86.8
C,Naypyitaw,Normal,09-02-2019,Male,130-98-8941,Cash,Fashion accessories,30-12-1899 10:00:00 am,449.82,,22.491,4.761904762,,7,5.7,22.491,472.311,64.26
C,Naypyitaw,Member,23-01-2019,Male,434-83-9547,Cash,Food and beverages,30-12-1899 11:51:00 am,307.76,,15.388,4.761904762,,8,7.7,15.388,323.148,38.47
A,Yangon,Member,23-03-2019,Male,851-28-6367,Ewallet,Sports and travel,30-12-1899 10:55:00 am,155,,7.75,4.761904762,,10,8,7.75,162.75,15.5
C,Naypyitaw,Normal,25-01-2019,Male,824-88-3614,Ewallet,Health and beauty,30-12-1899 03:00:00 pm,274.48,,13.724,4.761904762,,8,5.7,13.724,288.204,34.31
A,Yangon,Normal,04-03-2019,Female,586-25-0848,Credit card,Sports and travel,30-12-1899 11:19:00 am,86.38,,4.319,4.761904762,,7,6.7,4.319,90.699,12.34
B,Mandalay,Member,05-03-2019,Male,895-66-0685,Ewallet,Food and beverages,30-12-1899 07:46:00 pm,54.24,,2.712,4.761904762,,3,8,2.712,56.952,18.08
B,Mandalay,Member,03-03-2019,Female,305-14-0245,Ewallet,Home and lifestyle,30-12-1899 07:00:00 pm,755.92,,37.796,4.761904762,,8,7.5,37.796,793.716,94.49
B,Mandalay,Member,08-02-2019,Male,732-04-5373,Cash,Home and lifestyle,30-12-1899 10:53:00 am,185.88,,9.294,4.761904762,,4,7,9.294,195.174,46.47
A,Yangon,Normal,10-02-2019,Male,400-60-7251,Ewallet,Home and lifestyle,30-12-1899 12:50:00 pm,74.07,,3.7035,4.761904762,,1,9.9,3.7035,77.7735,74.07
C,Naypyitaw,Normal,28-01-2019,Female,593-65-1552,Credit card,Home and lifestyle,30-12-1899 08:50:00 pm,279.24,,13.962,4.761904762,,4,5.9,13.962,293.202,69.81
B,Mandalay,Normal,11-02-2019,Female,284-34-9626,Credit card,Home and lifestyle,30-12-1899 10:39:00 am,231.12,,11.556,4.761904762,,3,7.2,11.556,242.676,77.04
B,Mandalay,Normal,15-01-2019,Female,437-58-8131,Ewallet,Fashion accessories,30-12-1899 01:41:00 pm,147.04,,7.352,4.761904762,,2,4.6,7.352,154.392,73.52
C,Naypyitaw,Normal,16-03-2019,Female,286-43-6208,Cash,Food and beverages,30-12-1899 07:08:00 pm,790.2,,39.51,4.761904762,,9,9.2,39.51,829.71,87.8
B,Mandalay,Normal,26-01-2019,Male,641-43-2399,Ewallet,Home and lifestyle,30-12-1899 08:23:00 pm,102.2,,5.11,4.761904762,,4,5.7,5.11,107.31,25.55
A,Yangon,Normal,19-03-2019,Male,831-07-6050,Credit card,Electronic accessories,30-12-1899 11:30:00 am,163.55,,8.1775,4.761904762,,5,9.9,8.1775,171.7275,32.71
C,Naypyitaw,Member,13-01-2019,Female,556-86-3144,Cash,Fashion accessories,30-12-1899 07:30:00 pm,74.29,,3.7145,4.761904762,,1,5,3.7145,78.0045,74.29
C,Naypyitaw,Member,26-03-2019,Male,848-24-9445,Cash,Health and beauty,30-12-1899 06:03:00 pm,87.4,,4.37,4.761904762,,2,4.9,4.37,91.77,43.7
A,Yangon,Normal,23-03-2019,Female,856-22-8149,Ewallet,Home and lifestyle,30-12-1899 10:13:00 am,25.29,,1.2645,4.761904762,,1,6.1,1.2645,26.5545,25.29
C,Naypyitaw,Normal,12-03-2019,Male,699-01-4164,Credit card,Health and beauty,30-12-1899 07:58:00 pm,166,,8.3,4.761904762,,4,8.2,8.3,174.3,41.5
C,Naypyitaw,Member,17-02-2019,Female,420-11-4919,Credit card,Food and beverages,30-12-1899 07:57:00 pm,356.95,,17.8475,4.761904762,,5,5.5,17.8475,374.7975,71.39
C,Naypyitaw,Member,29-01-2019,Female,606-80-4905,Credit card,Sports and travel,30-12-1899 10:01:00 am,114.9,,5.745,4.761904762,,6,6.8,5.745,120.645,19.15
B,Mandalay,Member,15-03-2019,Female,542-41-0513,Cash,Electronic accessories,30-12-1899 11:57:00 am,229.96,,11.498,4.761904762,,4,6.6,11.498,241.458,57.49
C,Naypyitaw,Normal,14-01-2019,Male,426-39-2418,Cash,Electronic accessories,30-12-1899 10:02:00 am,429.87,,21.4935,4.761904762,,7,9.8,21.4935,451.3635,61.41
B,Mandalay,Member,06-02-2019,Male,875-46-5808,Ewallet,Health and beauty,30-12-1899 02:51:00 pm,259,,12.95,4.761904762,,10,8.7,12.95,271.95,25.9
B,Mandalay,Member,15-02-2019,Male,394-43-4238,Credit card,Home and lifestyle,30-12-1899 12:42:00 pm,88.85,,4.4425,4.761904762,,5,5.4,4.4425,93.2925,17.77
A,Yangon,Normal,03-01-2019,Female,749-24-1565,Ewallet,Health and beauty,30-12-1899 12:02:00 pm,207.27,,10.3635,4.761904762,,9,7.9,10.3635,217.6335,23.03
C,Naypyitaw,Member,04-01-2019,Female,672-51-8681,Credit card,Electronic accessories,30-12-1899 06:19:00 pm,599.85,,29.9925,4.761904762,,9,9.7,29.9925,629.8425,66.65
C,Naypyitaw,Member,18-03-2019,Female,263-87-5680,Ewallet,Home and lifestyle,30-12-1899 05:38:00 pm,285.3,,14.265,4.761904762,,10,7.8,14.265,299.565,28.53
B,Mandalay,Normal,28-03-2019,Female,573-58-9734,Ewallet,Fashion accessories,30-12-1899 01:41:00 pm,91.11,,4.5555,4.761904762,,3,5.1,4.5555,95.6655,30.37
B,Mandalay,Normal,02-03-2019,Female,817-69-8206,Credit card,Electronic accessories,30-12-1899 07:42:00 pm,897.57,,44.8785,4.761904762,,9,6.5,44.8785,942.4485,99.73
A,Yangon,Normal,25-01-2019,Male,888-02-0338,Ewallet,Electronic accessories,30-12-1899 08:24:00 pm,236.07,,11.8035,4.761904762,,9,5.9,11.8035,247.8735,26.23
C,Naypyitaw,Normal,16-01-2019,Female,677-11-0152,Cash,Food and beverages,30-12-1899 06:08:00 pm,839.34,,41.967,4.761904762,,9,8.8,41.967,881.307,93.26
B,Mandalay,Normal,20-03-2019,Male,142-63-6033,Ewallet,Home and lifestyle,30-12-1899 07:17:00 pm,461.8,,23.09,4.761904762,,5,4.9,23.09,484.89,92.36
B,Mandalay,Normal,04-01-2019,Male,656-16-1063,Credit card,Sports and travel,30-12-1899 01:24:00 pm,139.26,,6.963,4.761904762,,3,4.4,6.963,146.223,46.42
B,Mandalay,Member,11-03-2019,Female,891-58-8335,Cash,Sports and travel,30-12-1899 03:53:00 pm,207.27,,10.3635,4.761904762,,7,6.5,10.3635,217.6335,29.61
A,Yangon,Normal,22-03-2019,Male,802-43-8934,Credit card,Home and lifestyle,30-12-1899 03:05:00 pm,18.28,,0.914,4.761904762,,1,8.3,0.914,19.194,18.28
B,Mandalay,Normal,24-03-2019,Female,560-30-5617,Cash,Sports and travel,30-12-1899 06:27:00 pm,123.85,,6.1925,4.761904762,,5,8.5,6.1925,130.0425,24.77
A,Yangon,Member,21-02-2019,Female,319-74-2561,Cash,Electronic accessories,30-12-1899 04:55:00 pm,283.92,,14.196,4.761904762,,3,5.5,14.196,298.116,94.64
B,Mandalay,Normal,12-02-2019,Male,549-03-9315,Ewallet,Fashion accessories,30-12-1899 12:58:00 pm,758.96,,37.948,4.761904762,,8,8.7,37.948,796.908,94.87
B,Mandalay,Normal,10-03-2019,Female,790-29-1172,Credit card,Food and beverages,30-12-1899 06:59:00 pm,172.02,,8.601,4.761904762,,3,7.9,8.601,180.621,57.34
B,Mandalay,Normal,31-01-2019,Male,239-36-3640,Ewallet,Electronic accessories,30-12-1899 01:44:00 pm,272.1,,13.605,4.761904762,,6,6.1,13.605,285.705,45.35
B,Mandalay,Normal,06-03-2019,Male,468-01-2051,Ewallet,Food and beverages,30-12-1899 01:46:00 pm,434.56,,21.728,4.761904762,,7,5.4,21.728,456.288,62.08
C,Naypyitaw,Normal,17-02-2019,Male,389-25-3394,Cash,Electronic accessories,30-12-1899 06:06:00 pm,59.05,,2.9525,4.761904762,,5,9.4,2.9525,62.0025,11.81
C,Naypyitaw,Member,21-02-2019,Female,279-62-1445,Cash,Fashion accessories,30-12-1899 12:38:00 pm,12.54,,0.627,4.761904762,,1,8.2,0.627,13.167,12.54
A,Yangon,Normal,20-03-2019,Male,213-72-6612,Cash,Food and beverages,30-12-1899 03:56:00 pm,86.5,,4.325,4.761904762,,2,6.2,4.325,90.825,43.25
C,Naypyitaw,Member,11-01-2019,Female,746-68-6593,Credit card,Sports and travel,30-12-1899 02:29:00 pm,174.32,,8.716,4.761904762,,2,9.7,8.716,183.036,87.16
B,Mandalay,Member,26-01-2019,Male,836-82-5858,Ewallet,Health and beauty,30-12-1899 07:14:00 pm,624.33,,31.2165,4.761904762,,9,4,31.2165,655.5465,69.37
C,Naypyitaw,Member,31-01-2019,Male,583-72-1480,Ewallet,Electronic accessories,30-12-1899 04:24:00 pm,148.24,,7.412,4.761904762,,4,9.7,7.412,155.652,37.06
B,Mandalay,Member,26-02-2019,Female,466-61-5506,Cash,Electronic accessories,30-12-1899 10:52:00 am,544.2,,27.21,4.761904762,,6,5.3,27.21,571.41,90.7
A,Yangon,Normal,11-03-2019,Female,721-86-6247,Ewallet,Home and lifestyle,30-12-1899 12:55:00 pm,507.36,,25.368,4.761904762,,8,7.4,25.368,532.728,63.42
B,Mandalay,Normal,26-01-2019,Female,289-65-5721,Cash,Fashion accessories,30-12-1899 07:28:00 pm,162.74,,8.137,4.761904762,,2,6.5,8.137,170.877,81.37
B,Mandalay,Member,12-03-2019,Female,545-46-3100,Credit card,Electronic accessories,30-12-1899 01:52:00 pm,31.77,,1.5885,4.761904762,,3,8.7,1.5885,33.3585,10.59
B,Mandalay,Normal,11-02-2019,Female,418-02-5978,Cash,Health and beauty,30-12-1899 10:54:00 am,756.81,,37.8405,4.761904762,,9,8,37.8405,794.6505,84.09
B,Mandalay,Member,21-02-2019,Male,269-04-5750,Cash,Fashion accessories,30-12-1899 06:31:00 pm,295.28,,14.764,4.761904762,,4,6.7,14.764,310.044,73.82
A,Yangon,Member,09-03-2019,Male,157-13-5295,Ewallet,Health and beauty,30-12-1899 06:24:00 pm,519.4,,25.97,4.761904762,,10,6.5,25.97,545.37,51.94
A,Yangon,Normal,20-01-2019,Female,645-78-8093,Ewallet,Sports and travel,30-12-1899 06:09:00 pm,186.28,,9.314,4.761904762,,2,4.1,9.314,195.594,93.14
C,Naypyitaw,Normal,28-01-2019,Male,211-30-9270,Credit card,Health and beauty,30-12-1899 03:16:00 pm,87.05,,4.3525,4.761904762,,5,4.9,4.3525,91.4025,17.41
C,Naypyitaw,Member,05-03-2019,Female,755-12-3214,Credit card,Fashion accessories,30-12-1899 05:07:00 pm,221.1,,11.055,4.761904762,,5,8.6,11.055,232.155,44.22
B,Mandalay,Member,02-03-2019,Female,346-84-3103,Cash,Electronic accessories,30-12-1899 07:26:00 pm,66.1,,3.305,4.761904762,,5,4.3,3.305,69.405,13.22
A,Yangon,Normal,11-01-2019,Male,478-06-7835,Ewallet,Fashion accessories,30-12-1899 11:20:00 am,89.69,,4.4845,4.761904762,,1,4.9,4.4845,94.1745,89.69
A,Yangon,Normal,11-01-2019,Male,540-11-4336,Credit card,Food and beverages,30-12-1899 04:49:00 pm,224.46,,11.223,4.761904762,,9,5.6,11.223,235.683,24.94
A,Yangon,Normal,11-03-2019,Male,448-81-5016,Credit card,Health and beauty,30-12-1899 12:01:00 pm,119.54,,5.977,4.761904762,,2,5.8,5.977,125.517,59.77
C,Naypyitaw,Member,28-02-2019,Male,142-72-4741,Credit card,Fashion accessories,30-12-1899 06:37:00 pm,186.4,,9.32,4.761904762,,2,6,9.32,195.72,93.2
A,Yangon,Member,05-01-2019,Male,217-58-1179,Cash,Home and lifestyle,30-12-1899 11:25:00 am,250.6,,12.53,4.761904762,,4,4.2,12.53,263.13,62.65
B,Mandalay,Normal,02-02-2019,Male,376-02-8238,Credit card,Home and lifestyle,30-12-1899 06:42:00 pm,750.96,,37.548,4.761904762,,8,8.3,37.548,788.508,93.87
A,Yangon,Member,01-01-2019,Male,530-90-9855,Cash,Home and lifestyle,30-12-1899 02:47:00 pm,380.72,,19.036,4.761904762,,8,5.7,19.036,399.756,47.59
B,Mandalay,Member,09-02-2019,Female,866-05-7563,Cash,Electronic accessories,30-12-1899 07:43:00 pm,244.2,,12.21,4.761904762,,3,4.8,12.21,256.41,81.4
A,Yangon,Member,23-01-2019,Male,604-70-6476,Ewallet,Fashion accessories,30-12-1899 02:04:00 pm,89.7,,4.485,4.761904762,,5,6.8,4.485,94.185,17.94
A,Yangon,Member,07-01-2019,Male,799-71-1548,Credit card,Electronic accessories,30-12-1899 04:11:00 pm,310.88,,15.544,4.761904762,,4,8.8,15.544,326.424,77.72
B,Mandalay,Normal,14-01-2019,Male,785-13-7708,Credit card,Food and beverages,30-12-1899 07:06:00 pm,511.42,,25.571,4.761904762,,7,4.2,25.571,536.991,73.06
B,Mandalay,Member,02-02-2019,Male,845-51-0542,Ewallet,Food and beverages,30-12-1899 03:34:00 pm,418.95,,20.9475,4.761904762,,9,6.4,20.9475,439.8975,46.55
C,Naypyitaw,Member,17-03-2019,Male,662-47-5456,Credit card,Fashion accessories,30-12-1899 07:06:00 pm,351.9,,17.595,4.761904762,,10,8.4,17.595,369.495,35.19
C,Naypyitaw,Normal,02-03-2019,Female,883-17-4236,Credit card,Sports and travel,30-12-1899 07:44:00 pm,28.78,,1.439,4.761904762,,2,7.2,1.439,30.219,14.39
A,Yangon,Normal,16-03-2019,Male,290-68-2984,Cash,Home and lifestyle,30-12-1899 11:22:00 am,95,,4.75,4.761904762,,4,5.2,4.75,99.75,23.75
A,Yangon,Member,06-01-2019,Male,704-11-6354,Cash,Home and lifestyle,30-12-1899 11:23:00 am,471.2,,23.56,4.761904762,,8,8.9,23.56,494.76,58.9
B,Mandalay,Member,29-01-2019,Male,110-48-7033,Cash,Fashion accessories,30-12-1899 02:12:00 pm,130.48,,6.524,4.761904762,,4,9,6.524,137.004,32.62
A,Yangon,Member,31-01-2019,Male,366-93-0948,Credit card,Electronic accessories,30-12-1899 10:46:00 am,66.35,,3.3175,4.761904762,,1,9.7,3.3175,69.6675,66.35
A,Yangon,Member,05-02-2019,Male,729-09-9681,Ewallet,Home and lifestyle,30-12-1899 10:16:00 am,155.46,,7.773,4.761904762,,6,8.7,7.773,163.233,25.91
A,Yangon,Member,13-02-2019,Male,151-16-1484,Ewallet,Electronic accessories,30-12-1899 12:38:00 pm,129,,6.45,4.761904762,,4,6.5,6.45,135.45,32.25
C,Naypyitaw,Member,07-02-2019,Male,380-94-4661,Credit card,Electronic accessories,30-12-1899 01:05:00 pm,263.76,,13.188,4.761904762,,4,6.9,13.188,276.948,65.94
A,Yangon,Normal,19-03-2019,Female,850-41-9669,Ewallet,Electronic accessories,30-12-1899 01:25:00 pm,675.54,,33.777,4.761904762,,9,6.2,33.777,709.317,75.06
C,Naypyitaw,Normal,07-03-2019,Female,821-07-3596,Ewallet,Fashion accessories,30-12-1899 02:53:00 pm,65.8,,3.29,4.761904762,,4,5.6,3.29,69.09,16.45
B,Mandalay,Member,13-03-2019,Female,655-85-5130,Cash,Fashion accessories,30-12-1899 07:22:00 pm,153.2,,7.66,4.761904762,,4,5.7,7.66,160.86,38.3
A,Yangon,Member,09-02-2019,Female,447-15-7839,Cash,Sports and travel,30-12-1899 11:00:00 am,222.4,,11.12,4.761904762,,10,4.2,11.12,233.52,22.24
B,Mandalay,Normal,26-02-2019,Male,154-74-7179,Ewallet,Sports and travel,30-12-1899 07:24:00 pm,54.45,,2.7225,4.761904762,,1,7.9,2.7225,57.1725,54.45
A,Yangon,Member,12-03-2019,Female,253-12-6086,Credit card,Sports and travel,30-12-1899 12:43:00 pm,688.8,,34.44,4.761904762,,7,8.7,34.44,723.24,98.4
C,Naypyitaw,Normal,14-03-2019,Male,808-65-0703,Credit card,Home and lifestyle,30-12-1899 05:22:00 pm,141.88,,7.094,4.761904762,,4,6.9,7.094,148.974,35.47
B,Mandalay,Member,08-01-2019,Female,571-94-0759,Cash,Food and beverages,30-12-1899 08:55:00 pm,746,,37.3,4.761904762,,10,9.5,37.3,783.3,74.6
A,Yangon,Member,05-01-2019,Male,144-51-6085,Credit card,Home and lifestyle,30-12-1899 04:05:00 pm,282.96,,14.148,4.761904762,,4,4.4,14.148,297.108,70.74
A,Yangon,Member,04-01-2019,Female,731-14-2199,Ewallet,Home and lifestyle,30-12-1899 01:34:00 pm,355.4,,17.77,4.761904762,,10,7,17.77,373.17,35.54
B,Mandalay,Normal,06-03-2019,Female,783-09-1637,Ewallet,Sports and travel,30-12-1899 06:13:00 pm,337.15,,16.8575,4.761904762,,5,6.3,16.8575,354.0075,67.43
C,Naypyitaw,Member,03-01-2019,Female,687-15-1097,Cash,Health and beauty,30-12-1899 07:17:00 pm,42.24,,2.112,4.761904762,,2,9.7,2.112,44.352,21.12
A,Yangon,Member,07-01-2019,Female,126-54-1082,Credit card,Home and lifestyle,30-12-1899 11:44:00 am,193.86,,9.693,4.761904762,,9,8.8,9.693,203.553,21.54
A,Yangon,Normal,27-01-2019,Female,633-91-1052,Cash,Home and lifestyle,30-12-1899 03:51:00 pm,24.06,,1.203,4.761904762,,2,5.1,1.203,25.263,12.03
B,Mandalay,Normal,26-02-2019,Female,477-24-6490,Ewallet,Health and beauty,30-12-1899 04:52:00 pm,598.26,,29.913,4.761904762,,6,7.9,29.913,628.173,99.71
B,Mandalay,Normal,07-01-2019,Male,566-19-5475,Cash,Fashion accessories,30-12-1899 08:52:00 pm,335.79,,16.7895,4.761904762,,7,6.2,16.7895,352.5795,47.97
C,Naypyitaw,Member,07-01-2019,Female,526-86-8552,Cash,Home and lifestyle,30-12-1899 05:36:00 pm,218.2,,10.91,4.761904762,,10,7.1,10.91,229.11,21.82
C,Naypyitaw,Normal,02-02-2019,Female,376-56-3573,Ewallet,Fashion accessories,30-12-1899 01:23:00 pm,381.68,,19.084,4.761904762,,4,6.4,19.084,400.764,95.42
C,Naypyitaw,Member,20-03-2019,Male,537-72-0426,Cash,Fashion accessories,30-12-1899 04:28:00 pm,709.9,,35.495,4.761904762,,10,5.7,35.495,745.395,70.99
A,Yangon,Member,20-03-2019,Male,828-61-5674,Credit card,Sports and travel,30-12-1899 07:57:00 pm,440.2,,22.01,4.761904762,,10,9.6,22.01,462.21,44.02
A,Yangon,Normal,15-02-2019,Female,136-08-6195,Credit card,Home and lifestyle,30-12-1899 05:01:00 pm,559.68,,27.984,4.761904762,,8,6.4,27.984,587.664,69.96
C,Naypyitaw,Normal,06-03-2019,Male,523-38-0215,Credit card,Home and lifestyle,30-12-1899 01:29:00 pm,37,,1.85,4.761904762,,1,7.9,1.85,38.85,37
A,Yangon,Normal,06-01-2019,Female,490-29-1201,Cash,Sports and travel,30-12-1899 11:09:00 am,15.34,,0.767,4.761904762,,1,6.5,0.767,16.107,15.34
A,Yangon,Member,04-03-2019,Male,667-92-0055,Ewallet,Health and beauty,30-12-1899 03:02:00 pm,598.98,,29.949,4.761904762,,6,8.5,29.949,628.929,99.83
A,Yangon,Member,12-03-2019,Female,565-17-3836,Cash,Health and beauty,30-12-1899 02:21:00 pm,190.68,,9.534,4.761904762,,4,9.1,9.534,200.214,47.67
B,Mandalay,Normal,20-02-2019,Male,498-41-1961,Cash,Health and beauty,30-12-1899 06:01:00 pm,333.4,,16.67,4.761904762,,5,7.6,16.67,350.07,66.68
C,Naypyitaw,Member,24-03-2019,Male,593-95-4461,Cash,Home and lifestyle,30-12-1899 02:49:00 pm,74.86,,3.743,4.761904762,,1,6.9,3.743,78.603,74.86
C,Naypyitaw,Normal,31-01-2019,Female,226-71-3580,Cash,Sports and travel,30-12-1899 12:02:00 pm,213.75,,10.6875,4.761904762,,9,9.5,10.6875,224.4375,23.75
B,Mandalay,Normal,25-01-2019,Female,283-79-9594,Credit card,Food and beverages,30-12-1899 01:30:00 pm,339.57,,16.9785,4.761904762,,7,5.2,16.9785,356.5485,48.51
A,Yangon,Member,03-02-2019,Female,430-60-3493,Cash,Home and lifestyle,30-12-1899 02:38:00 pm,664.16,,33.208,4.761904762,,7,4.2,33.208,697.368,94.88
B,Mandalay,Member,24-01-2019,Male,139-20-0155,Credit card,Electronic accessories,30-12-1899 05:37:00 pm,403,,20.15,4.761904762,,10,7,20.15,423.15,40.3
C,Naypyitaw,Normal,14-03-2019,Male,558-80-4082,Ewallet,Electronic accessories,30-12-1899 05:20:00 pm,194.95,,9.7475,4.761904762,,7,6,9.7475,204.6975,27.85
A,Yangon,Member,18-02-2019,Female,278-97-7759,Cash,Electronic accessories,30-12-1899 08:29:00 pm,62.48,,3.124,4.761904762,,1,4.7,3.124,65.604,62.48
A,Yangon,Member,21-01-2019,Female,316-68-6352,Cash,Food and beverages,30-12-1899 10:00:00 am,72.72,,3.636,4.761904762,,2,7.1,3.636,76.356,36.36
B,Mandalay,Normal,13-03-2019,Male,585-03-5943,Ewallet,Health and beauty,30-12-1899 11:46:00 am,181.1,,9.055,4.761904762,,10,5.9,9.055,190.155,18.11
C,Naypyitaw,Member,03-03-2019,Female,211-05-0490,Cash,Electronic accessories,30-12-1899 01:42:00 pm,259.6,,12.98,4.761904762,,5,7.5,12.98,272.58,51.92
C,Naypyitaw,Normal,29-03-2019,Male,727-75-6477,Cash,Electronic accessories,30-12-1899 02:44:00 pm,115.36,,5.768,4.761904762,,4,6.4,5.768,121.128,28.84
A,Yangon,Member,10-01-2019,Male,744-02-5987,Ewallet,Home and lifestyle,30-12-1899 02:16:00 pm,470.28,,23.514,4.761904762,,6,5.8,23.514,493.794,78.38
A,Yangon,Member,25-01-2019,Male,307-83-9164,Cash,Home and lifestyle,30-12-1899 03:54:00 pm,240.04,,12.002,4.761904762,,4,4.5,12.002,252.042,60.01
C,Naypyitaw,Member,19-01-2019,Female,779-06-0012,Cash,Home and lifestyle,30-12-1899 10:21:00 am,88.61,,4.4305,4.761904762,,1,7.7,4.4305,93.0405,88.61
C,Naypyitaw,Normal,02-01-2019,Male,446-47-6729,Credit card,Fashion accessories,30-12-1899 06:09:00 pm,199.64,,9.982,4.761904762,,2,6.7,9.982,209.622,99.82
